version	inner_geomean_us	outer_geomean_us	small_n_us	decode_us	prefill_us	anchor_us	verdict	change
g_13	62.94	-	27.52	-	-	609.3	accept	Fold the HIST_REP replica reduction into the pivot scan (block_find_pivot_bucket_rep): a radix pass goes from 5 block barriers to 4, with no extra LDS and no added arithmetic. Wins on all 6 shapes tried, largest where the select dominates: small_n M=4096 N=8192 -4.8%, M=2048 N=4096 -4.6%, M=1 N=1M -2.2%, M=1024 N=65536 -1.5%, anchor -0.68% (614.0 -> 609.3 us). Per-kernel at anchor: phase_a 65.7 -> 62.2 us, phase_c 69.8 -> 68.1, phase_b unchanged. Inner geomean 64.72 -> 62.94 us (-2.83%), small_n regime -5.1%. verify_grid --dist all 2140/2140, same 409 warnings; gate proven failable on the shipped fused path via --inject-fault 1 and 2. Also tried and FALSIFIED: wave-private in-place active-set compaction (--phase-a-compact 1), correct but phase_a only -0.5% and wall worse on 3 of 4 shapes, because the select is barrier-bound not read-bound.
g_12	64.72	-	28.98	-	-	614.0	accept	REVERT of g_11's Phase C 3-pass default: it is WRONG, not bit-identical. 3-pass Phase C gives rows_fail=1 at M=4096 N=131072 on --dist gaussian and --dist inf; 4-pass is rows_fail=0 on all five (isolated A/B, both oracles). verify_grid --dist all back to 2140/2140. The g_11 numbers (609 us, -1.66% inner) were produced by the wrong config and are withdrawn. Kept from g_11: bench/large_n_sweep.py, bench/profile_large_n.sh, the aiter stride0>=32768 dispatch, and the negative sweep records. Inner baseline restored to 64.72 us (g_10 level).
g_11	63.65	-	28.95	-	-	608.6	revert	WITHDRAWN, see g_12. Phase C default 3 radix passes: measured anchor 615->609 us and inner -1.66%, but the config is incorrect on gaussian/inf and the only gate re-run was --dist adversarial --inner (24 points), which cannot see it. Also landed (and kept): bench/large_n_sweep.py + profile_large_n.sh, aiter dispatch stride0>=32768 -> AVO (stable/env override), decode launch-bound finding, negative block/S/fuse-ab sweeps.
g_0	67.31	45.21	16.97	34.55	207.07	615.7	baseline	pow2 grid baseline after the coop overflow-valve fix (130 points, 650 verifies green)
g_1	65.50	43.36	17.00	31.32	207.21	615.7	accept	coop_g from a measured 8x7 table instead of a 256-block target; M=128 N=1M 225 -> 127 us. (A first reading showed prefill 195.65 -- an artifact of grouping by the REPORTED path: M=128 N=16384 got coop_g=1 and so moved from decode to prefill. Scoring now groups by a static regime.)
g_2	65.14	43.31	16.94	31.32	207.15	615.7	accept	small_n block size from a measured 13x3 table; removes a reproducible +12.1% outlier at M=2048 N=4096 (41.7 -> 37.3 us). phase_a/phase_c occupancy formula left alone: already worst +3.4% / mean +0.1% over 91 sampled-path points, so no table is warranted there.
g_3	64.76	42.73	16.59	30.90	205.95	615.6	accept	N_lds boundary made M-dependent: small_n now takes N=16384 when M<=256 (measured -1.8..-18.0%) and the sampled path keeps it at M>=1024 (small_n is +17..19% there). N=32768 loses at every M so 16384 is the end of the trend. Also: refuse a small_n LDS request over 160 KB, and check hipGetLastError -- forcing small_n at N=65536 previously reported 4.40 us with garbage because the launch never started.
g_4	64.64	42.67	16.59	30.84	205.8	614.5	accept	chunk_stride hoisted from the sampler to a kernarg, and sampling geometry split into sample_stride_exact (chooses S, old rule unchanged) + sampling_geometry_ok (decides servability, now masks the stride to a multiple of 4). Serves row widths that are not a multiple of the chunk count, which is every width aiter asks for (num_prefix + num_rows, e.g. 131328 = 2^8*3^3*19, previously refused). Faster than g_3 rather than break-even because the kernel no longer does an integer division the host already knew: outer 42.71-42.72 -> 42.66-42.67 us and decode 30.90 -> 30.84 us on two interleaved A/B rounds. 650 verifies green.
g_8	64.44	-	28.59	-	-	-	accept	values output as template <bool WRITE_VALUES> on the four OUTPUT kernels only (phase_a/phase_b never touch the output, so they are not instantiated on it). The score is recovered from the sortable key via sortable_to_fp32, so a value costs one store and NOT a re-read; only emit_identity_row reads the row, because it runs no select. Padding is -inf per aiter (topk_per_row_kernels.cu:2249). TRAP: the template made the body free but not the SIGNATURE -- one unused float* kernarg alone cost +1.0% of the small_n geomean (28.51->28.83, isolated by adding a dummy kernarg to the pre-values tree), fixed by bundling outputs in TopkOut<WRITE_VALUES> so the false form stays 8 bytes and the old kernarg offsets are preserved. 2115/2115 verify_grid green incl. 40 values points; value check proven failable via --inject-fault 2; inner geomean -0.57% mean of 3 runs, small_n 28.54/28.64/28.58 vs 28.55 baseline.
g_9	64.44	-	28.59	-	-	-	accept	VALUES gate expanded 8->11 shapes to cover phase_c_select_waveseg<STATIC_CAP=false> and ragged+coop phase_c_select_contig with WRITE_VALUES=true (each is a separate template instantiation; the 8-shape set never ran them). No kernel change since g_8; inner geomean unchanged. 2130/2130 verify_grid green; value check still failable via --inject-fault 2.
g_10	64.75	-	28.96	-	-	-	accept	Nonzero rowStarts via RowExtents<RAGGED>: absolute column indices on [rowStart,rowEnd), CPU-oracle gate +2 rowStarts shapes (2140/2140 verify_grid all dists). Uniform small_n +1.5% (28.55->28.96 us inner geomean, 3 runs) from RowExtents kernarg bundle despite byte-identical 8 B uniform slot; inner baseline refreshed. LARGE_ARGV repeats 5->9 for outer-tier decode stability. topk_select registration scoped: sweep/fit scripts absent, AVO is nondeterministic-tie.
g_7	64.50	-	-	-	-	-	accept	Ragged wired into the correctness gate (bench/grid.py RAGGED, 13 shapes x 5 dists, run by verify_grid.py; 2075/2075 green). Doing so exposed two real defects the uniform gate could not see: (1) fb_rows was appended by BOTH phase_a's ragged routing and phase_c, double-counting short rows against an M-entry buffer and writing past it (M=512 reported fallback_rows=1024); phase_a now marks with threshold_f=+inf only. (2) prefix 0 bounds every extent by M, so the ragged SAMPLER path was never exercised -- added --ragged-prefix so aiter's real num_prefix=131072 shape (fallback_rows=0) is covered. Gate proven failable on all three regimes via --inject-fault. Ragged points use the CPU oracle because phase_d_fallback shares exact_row_select with the kernel under test.
g_6	64.55	-	-	-	-	-	accept	Match aiter's short-row convention: row_len <= K emits the identity + -1 tail instead of running a radix select (aiter topk_per_row_kernels.cu:398/:2241), and k > stride0 is no longer refused -- geometry sized by geometry_k_ragged(K,N)=min(K,N), since a ragged row only ever ranks min(K,row_len). aiter perftest triangular num_prefix=0: 4096 rows k=2048 46.21 -> 42.40 us (aiter 47.36), k=512 44.34 -> 40.98 (aiter 67.04); num_rows 64/256/1024 went from "unsupported geometry" to served + all_close. 2010/2010 verify_grid green, inner geomean -0.40% vs baseline. Outer not re-run (g_5 number stands; this change is ragged-only and compiles out at RAGGED=false).
g_5	64.53	43.26	16.54	30.22	198.71	615.2	accept	Per-row extent via row_ends + template RAGGED: triangular rows, min(K,row_len) select, -1 tail padding, short-row routing in phase_a. Gate expanded to 402 shapes (multi-K 512/1024/2048 + aiter num_prefix+num_rows widths); 2010/2010 verify_grid green. Outer geomean is over the expanded 402-point set, not comparable to g_4's 130-point number. Inner geomean -0.43% vs g_4 inner baseline.
